E_cs,x_max
3599.99712,3990.17208822
4039.26320408,3819.37731873
4532.12785676,3655.89322476
5085.13109254,3499.40688116
5705.61092837,3349.6187572
6401.8007547,3206.24214321
7182.93858754,3069.00260182
8059.38965133,2937.63744262
9042.78391921,2811.89521937
10146.1704356,2691.5352487
11384.1904693,2576.32714944
12773.2717938,2466.05040158
14331.8466744,2360.49392425
16080.596453,2259.45567166
18042.7259764,2162.74224634
20244.2715114,2070.16852898
22714.4462297,1981.5573241
25486.027849,1896.73902087
28595.7935734,1815.55126847
32085.0081048,1737.83866529
35999.9712,1663.45246153
40392.6320408,1592.25027447
45321.2785676,1524.09581588
50851.3109254,1458.85863123
57056.1092837,1396.41384993
64018.007547,1336.64194633
71829.3858754,1279.42851096
80593.8965133,1224.6640315
90427.8391921,1172.24368317
101461.704356,1122.06712811
113841.904693,1074.03832332
127732.717938,1028.06533679
143318.466744,984.06017156
160805.96453,941.938597282
180427.259764,901.619988992
202442.715114,863.027172786
227144.462297,826.0862781
254860.27849,790.726596316
285957.935734,756.880445417
320850.081048,724.483040439
359999.712,693.472369464
403926.320408,663.789074922
453212.785676,635.376339977
508513.109254,608.179779775
570561.092837,582.147337341
640180.07547,557.229183941
718293.858754,533.377623702
805938.965133,510.54700232
904278.391921,488.69361967
1014617.04356,467.775646161
1138419.04693,447.753042672
1277327.17938,428.587483909
1433184.66744,410.242285049
1608059.6453,392.682331521
1804272.59764,375.874011794
2024427.15114,359.78515304
2271444.62297,344.38495955
2548602.7849,329.643953794
2859579.35734,315.533919991
3208500.81048,302.027850107
3599997.12,289.099892153
4039263.20408,276.725300708
4532127.85676,264.880389549
5085131.09254,253.542486313
5705610.92837,242.689889106
6401800.7547,232.301824956
7182938.58754,222.358410054
8059389.65133,212.840611696
9042783.91921,203.730211851
10146170.4356,195.00977229
11384190.4693,186.662601207
12773271.7938,178.67272127
14331846.6744,171.024839039
16080596.453,163.704315692
18042725.9764,156.697139005
20244271.5114,149.989896532
22714446.2297,143.569749929
25486027.849,137.424410385
28595793.5734,131.542115098
32085008.1048,125.911604758
35999971.2,120.522101997
40392632.0408,115.363290759
45321278.5676,110.425296559
50851310.9254,105.698667573
57056109.2837,101.174356554
64018007.547,96.8437035133
71829385.8754,92.6984191409
80593896.5133,88.7305689424
90427839.1921,84.9325580501
101461704.356,81.2971166862
113841904.693,77.817286247
127732717.938,74.4864059845
143318466.744,71.298100256
160805964.53,68.246266321
180427259.764,65.3250626599
202442715.114,62.5288977928
227144462.297,59.8524195765
254860278.49,57.2905049603
285957935.734,54.8382501798
320850081.048,52.4909613708
359999712,50.2441455845
